City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Uvat,59.14,68.9,49.42,83,0,4.76,RU,1595463959
Vrangel',42.73,133.08,66.96,84,71,13.02,RU,1595463959
Hilo,19.73,-155.09,84.2,58,1,10.29,US,1595463950
Mataura,-46.19,168.86,39,83,97,3,NZ,1595463789
Puerto Ayora,-0.74,-90.35,68,94,85,7,EC,1595463960
Verkhniy Rohachyk,47.25,34.34,64.69,61,12,7.36,UA,1595463960
Köse,40.21,39.65,60.8,67,4,1.12,TR,1595463960
Wodonga,-36.12,146.88,44.6,100,75,4.7,AU,1595463960
Ushuaia,-54.8,-68.3,37.4,59,96,19.46,AR,1595463777
Rikitea,-23.12,-134.97,67.08,59,100,12.88,PF,1595463960
Bulgan,48.81,103.53,63.55,82,96,3.67,MN,1595463961
Vanimo,-2.67,141.3,84.52,66,2,6.49,PG,1595463961
Hermanus,-34.42,19.23,54,95,0,4,ZA,1595463961
Kapaa,22.08,-159.32,84,88,75,5.82,US,1595463961
Los Llanos de Aridane,28.66,-17.92,71.6,78,16,13.87,ES,1595463961
Plettenberg Bay,-34.05,23.37,58.95,57,0,3.15,ZA,1595463961
Andenes,69.31,16.12,51.8,93,100,16.11,NO,1595463858
Touros,-5.2,-35.46,77,78,75,5.82,BR,1595463961
Arraial do Cabo,-22.97,-42.03,71.6,88,40,2.24,BR,1595463961
Atuona,-9.8,-139.03,79.54,73,0,17.69,PF,1595463962
Cidreira,-30.18,-50.21,65.5,71,95,9.82,BR,1595463962
Shīeli,44.17,66.75,81.1,34,97,11.25,KZ,1595463962
Monte Alegre,-2.01,-54.07,78.82,79,79,5.03,BR,1595463962
Bluff,-46.6,168.33,39,83,97,3,NZ,1595463962
Lebu,-37.62,-73.65,49.05,80,44,2.89,CL,1595463962
Punta Arenas,-53.15,-70.92,28.4,92,18,5.82,CL,1595463810
Bambous Virieux,-20.34,57.76,69.8,60,75,12.75,MU,1595463962
Ondjiva,-17.07,15.73,51.78,42,0,7.45,AO,1595463962
Bredasdorp,-34.53,20.04,57.2,93,0,1.12,ZA,1595463963
Cape Town,-33.93,18.42,54,93,0,4.7,ZA,1595463963
Tanout,14.97,8.89,88.12,43,62,7.29,NE,1595463963
Airai,-8.93,125.41,63.21,45,76,5.35,TL,1595463963
Chokurdakh,70.63,147.92,87.91,33,60,8.14,RU,1595463844
Beloretsk,53.96,58.4,59,100,90,15.66,RU,1595463963
Barrow,71.29,-156.79,42.8,81,90,10.29,US,1595463963
Lavrentiya,65.58,-171,53.6,55,3,7.99,RU,1595463813
Ponta do Sol,32.67,-17.1,66.99,73,2,2.26,PT,1595463797
Okhotsk,59.38,143.3,61.47,58,24,6.93,RU,1595463798
Obra,24.42,82.98,79.56,84,95,4.21,IN,1595463963
Hobart,-42.88,147.33,48,75,75,8.05,AU,1595463815
Andrelândia,-21.74,-44.31,58.37,79,0,2.59,BR,1595463964
Karratha,-20.74,116.85,70.16,41,1,8.81,AU,1595463964
Saldanha,-33.01,17.94,50,87,0,3.36,ZA,1595463964
Puerto Escondido,15.85,-97.07,82.4,74,90,3.33,MX,1595463964
Beringovskiy,63.05,179.32,50.04,76,0,11.7,RU,1595463964
Sakaiminato,35.55,133.23,71.6,94,75,8.05,JP,1595463964
New Norfolk,-42.78,147.06,48,80,82,1.99,AU,1595463964
Tuatapere,-46.13,167.68,39,83,86,3,NZ,1595463791
Little Current,45.98,-81.92,68,77,1,3.36,CA,1595463964
Faanui,-16.48,-151.75,77.36,77,20,16.49,PF,1595463790
Liberal,37.04,-100.92,93.2,34,20,14.99,US,1595463965
Yellowknife,62.46,-114.35,64.99,93,75,6.93,CA,1595463965
Torbay,47.67,-52.73,66.2,63,75,16.11,CA,1595463773
Khatanga,71.97,102.5,47.05,81,100,16.6,RU,1595463965
East London,-33.02,27.91,64.15,35,0,7.94,ZA,1595463794
Liverpool,53.41,-2.98,60.8,77,75,9.17,GB,1595463882
Idanre,7.11,5.12,70.3,100,90,3.42,NG,1595463966
