City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Develi,38.39,35.49,60.8,72,0,1.12,TR,1595562801
Ormara,25.21,64.64,85.26,78,88,15.59,PK,1595562801
Avarua,-21.21,-159.78,73.4,88,6,4.7,CK,1595562712
Kautokeino,69.01,23.04,55.31,93,100,9.28,NO,1595562801
Negombo,7.21,79.84,77,88,75,8.05,LK,1595562801
Namatanai,-3.67,152.43,85.08,70,97,10.87,PG,1595562801
Rikitea,-23.12,-134.97,67.23,59,29,13.85,PF,1595562801
Provideniya,64.38,-173.3,53.6,66,87,8.95,RU,1595562729
Shenjiamen,29.96,122.3,78.26,83,100,18.34,CN,1595562802
Ushuaia,-54.8,-68.3,39.2,87,75,21.92,AR,1595562739
Half Moon Bay,37.46,-122.43,63,93,90,3.36,US,1595562531
Busselton,-33.65,115.33,63,54,36,9.48,AU,1595562802
San Patricio,19.22,-104.7,77.59,82,100,4.36,MX,1595562802
Sambava,-14.27,50.17,68.97,85,91,20.42,MG,1595562802
Khatanga,71.97,102.5,43.79,90,100,16.22,RU,1595562802
Huarmey,-10.07,-78.15,60.82,88,63,8.37,PE,1595562802
Longyearbyen,78.22,15.64,46.4,93,75,8.05,SJ,1595562802
Coquimbo,-29.95,-71.34,52.41,70,33,1.39,CL,1595562802
Rovaniemi,66.5,25.72,53.6,93,20,9.17,FI,1595562803
Buin,-33.73,-70.75,42.8,87,40,4.7,CL,1595562803
Mataura,-46.19,168.86,44.35,71,98,7.61,NZ,1595562803
Yellowknife,62.46,-114.35,57.2,87,75,13.87,CA,1595562803
Hobart,-42.88,147.33,54,58,40,11.41,AU,1595562753
Bridlington,54.08,-0.19,57.2,87,15,10.29,GB,1595562804
George Town,5.41,100.34,86,74,20,3.36,MY,1595562527
Kushima,31.46,131.23,77,83,90,11.41,JP,1595562804
Caesarea,32.52,34.9,79,83,40,8.05,IL,1595562804
Mgandu,-5.95,34.13,52.63,78,41,9.31,TZ,1595562804
Xining,36.62,101.77,65.26,71,98,3.02,CN,1595562782
Nuuk,64.18,-51.72,50,87,98,5.82,GL,1595562804
Araouane,18.9,-3.53,96.6,23,82,5.17,ML,1595562713
Santa Cruz de la Sierra,-17.8,-63.17,71.6,88,75,5.82,BO,1595562804
Punta Arenas,-53.15,-70.92,39.2,80,100,20.8,CL,1595562804
Castro,-24.79,-50.01,55.26,77,4,2.71,BR,1595562717
Plastun,44.76,136.29,62.51,89,100,4.07,RU,1595562805
Port Alfred,-33.59,26.89,61.65,33,0,8.41,ZA,1595562805
Jalu,29.03,21.55,71.22,70,0,5.53,LY,1595562805
Nikolskoye,59.7,30.79,51.01,81,20,4.47,RU,1595562805
Bengkulu,-3.8,102.27,82.54,71,95,1.68,ID,1595562805
Nador,35.17,-2.93,73.4,78,0,1.12,MA,1595562805
Puerto Ayora,-0.74,-90.35,66.99,98,87,4,EC,1595562618
Tsiroanomandidy,-18.77,46.03,54.03,75,3,2.68,MG,1595562805
Dunedin,-45.87,170.5,50,47,75,4,NZ,1595562806
Ingham,42.6,-84.38,68,100,1,3.36,US,1595562806
Tasiilaq,65.61,-37.64,37.4,93,99,4.7,GL,1595562806
Esperance,-33.87,121.9,59,67,75,10.29,AU,1595562806
Iskateley,67.68,53.15,67.66,60,3,8.63,RU,1595562806
Beian,63.66,9.57,51.8,81,75,14.99,NO,1595562806
Baykit,61.67,96.37,57.9,71,100,6.38,RU,1595562806
Birecik,37.03,37.99,78.8,50,0,2.21,TR,1595562806
Koslan,63.46,48.9,68.04,69,28,8.7,RU,1595562806
Mapiri,-15.25,-68.17,66.61,89,98,1.07,BO,1595562807
Deep River,46.1,-77.5,64.4,77,1,2.73,CA,1595562807
Ostrovnoy,68.05,39.51,62.29,81,99,13.22,RU,1595562807
Būkān,36.52,46.21,77.43,38,0,0.92,IR,1595562807
Bethanien,-26.5,17.16,50.22,42,0,7.7,NA,1595562746
Barrow,71.29,-156.79,39.2,93,90,5.82,US,1595562711
Bluff,-46.6,168.33,47.17,72,99,25.88,NZ,1595562807
Teya,60.38,92.63,52.47,83,100,8.93,RU,1595562807
Agadez,19.75,10.25,82.56,18,0,9.82,NE,1595562807
Butaritari,3.07,172.79,83.17,77,1,13.71,KI,1595562709
Agutaya,11.15,120.94,85.23,69,100,6.26,PH,1595562808
Leer,8.3,30.14,71.31,95,100,3.2,SS,1595562808
Hermanus,-34.42,19.23,63.16,42,0,8.14,ZA,1595562808
Darhan,49.49,105.92,72.37,54,81,4.09,MN,1595562808
Hualmay,-11.1,-77.61,60.71,86,87,7.99,PE,1595562808
Qaqortoq,60.72,-46.03,51.8,81,100,3.36,GL,1595562747
Oktyabr'skoye,43.06,44.74,71.6,53,2,6.71,RU,1595562808
Chokurdakh,70.63,147.92,82.24,40,93,2.89,RU,1595562808
Manicoré,-5.81,-61.3,75.2,94,2,1.12,BR,1595562809
Hithadhoo,-0.6,73.08,83.14,72,77,10.6,MV,1595562809
George Town,5.41,100.34,86,74,20,3.36,MY,1595562809
Klaksvík,62.23,-6.59,50,100,100,13.87,FO,1595562809
Kisangani,0.52,25.2,69.46,95,0,1.54,CD,1595562809
Cabo San Lucas,22.89,-109.91,87.8,33,5,12.73,MX,1595562809
Ouadda,8.08,22.4,66.94,92,86,1.97,CF,1595562809
Arraial do Cabo,-22.97,-42.03,70.74,80,3,21.34,BR,1595562809
Puerto Rico,-26.8,-55.02,64.22,78,0,4.18,AR,1595562809
Oranjemund,-28.55,16.43,66.83,26,0,10.45,NA,1595562809
Traverse City,44.76,-85.62,68,82,1,5.08,US,1595562685
Coahuayana Viejo,18.73,-103.68,76.77,88,100,2.53,MX,1595562766
Souillac,-20.52,57.52,66.06,66,75,24.79,MU,1595562810
